	Turbidez	pH	Condutividade	O2.porc	Altitude	Temp	Largura	Profundidade	Velocidade	Bacia
aguafria	10.51	7.26	0.012	77.03	554	22.31	1	0.39	0.33	2
boa.vista	10.2	6.61	0.019	77.73	511	19.51	7	0.65	0.52	2
buriti	7.05	7.29	0.02	76.13	466	20.84	3.8	0.25	0.525	1
apa	3.87	5.89	0.005	79.25	591	22.42	0.6	0.33	0.54	1
cab.dourados	2.86	7.59	0.029	72.45	641	20.67	1.5	0.22	0.34	1
dasmocas	4.43	7.28	0.128	59.86	366	19.94	2	0.32	0.43	2
feio	25.96	7.67	0.125	86.41	470	21.34	5	0.34	0.66	1
fundo	4.2	7.36	0.017	72.76	619	20.3	1.1	0.41	0.179	1
Lagoa.cheia	7.05	7.04	0.03	77.65	528	19.42	3.08	0.32	0.72	2
lagoinha	6.2	6.87	0.01	65.8	541	20.37	5.8	0.31	0.67	2
mosqueteiro	6.6	6.82	0.02	76.41	623	20.12	1.8	0.33	0.37	1
miranda	6.61	7.53	0.111	78.33	542	19.21	1.2	0.2	0.16	1
nioaque	4.01	7.05	0.1	83.03	386	20.13	6	0.35	0.79	1
nova.alvorada	6.15	7.26	0.09	66.91	432	22.81	2.3	0.55	0.37	2
passa.tempo	29.55	7.1	0.04	57.86	358	19.6	1.7	0.52	0.4	2
s.bento	10.85	7.27	0.03	75.76	344	21.11	6	0.84	0.8	2
s.virgem	5.05	7	0.02	76.18	571	20.24	6	0.7	0.73	2
taquarussu	6.96	7.04	0.03	65.66	490	20.69	4.5	0.22	0.85	1
turvo	10.45	7.51	0.026	75.91	523	21.54	4.3	0.49	0.81	2
ita	4.36	7.07	0.16	69.86	264	20.88	4	0.46	0.44	1
